市区町村,種別,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
北海道枝幸町,住宅地,100,98.61111111,96.52777778,94.44444444,92.36111111,90.27777778,88.19444444,86.11111111,84.02777778,82.63888889,81.25
北海道三笠市,住宅地,100,93.5483871,88.01843318,83.41013825,80.1843318,76.95852535,73.96313364,71.42857143,68.66359447,65.80645161,63.3640553
北海道美唄市,住宅地,100,93.57798165,87.6146789,82.56880734,77.52293578,72.47706422,68.80733945,66.05504587,63.0733945,60.55045872,59.17431193
北海道広尾町,住宅地,100,97.27891156,95.23809524,93.19727891,91.15646259,88.43537415,86.39455782,84.3537415,82.31292517,80.27210884,77.55102041
茨城県行方市,住宅地,100,97.22686268,95.58970932,93.95255596,92.54928166,91.17941864,89.77614434,88.60674908,87.83828934,87.47076512,87.20347477
福島県西会津町,住宅地,100,98.93687708,98.13953488,97.34219269,96.27906977,95.48172757,94.55149502,93.22259136,91.76079734,90.3654485,87.7076412
北海道芦別市,住宅地,100,98.67256637,95.57522124,91.15044248,86.28318584,81.4159292,76.54867257,72.56637168,68.5840708,65.48672566,62.47787611
北海道恵庭市,工業地,100,96.1038961,94.80519481,94.80519481,94.80519481,101.2987013,106.4935065,114.2857143,122.0779221,149.3506494,175.3246753
福島県湯川村,住宅地,100,100,100,99.61215255,98.96574014,98.19004525,97.41435036,96.63865546,95.86296057,95.08726568,94.44085326
山形県真室川町,住宅地,100,97.81491003,95.75835476,93.70179949,91.64524422,89.6529563,87.66066838,86.05398458,85.02570694,84.06169666,83.29048843
北海道千歳市,工業地,100,96.15384615,93.58974359,92.30769231,92.30769231,92.30769231,96.15384615,97.43589744,98.71794872,115.3846154,147.4358974
北海道南幌町,住宅地,100,98.08917197,94.26751592,90.44585987,87.89808917,84.07643312,80.25477707,80.25477707,80.25477707,82.80254777,84.07643312
北海道大空町,住宅地,100,96.83544304,94.93670886,93.03797468,91.13924051,89.87341772,88.60759494,87.34177215,86.07594937,84.17721519,82.91139241
北海道安平町,住宅地,100,96.61229611,93.22459222,89.71141782,84.94353827,81.17942284,77.79171895,74.7804266,72.64742785,70.51442911,69.63613551
岡山県吉備中央町,商業地,100,97.08737864,95.02427184,93.2038835,91.62621359,90.04854369,88.47087379,86.89320388,85.4368932,83.8592233,82.16019417
北海道滝川市,住宅地,100,95.98393574,92.36947791,89.55823293,87.14859438,84.3373494,82.32931727,81.12449799,79.91967871,78.71485944,77.91164659
北海道足寄町,住宅地,100,100,99.4011976,98.20359281,97.00598802,95.80838323,95.80838323,95.80838323,95.80838323,95.80838323,94.61077844
秋田県北秋田市,住宅地,100,96.21513944,92.62948207,89.24302789,86.09561753,83.64541833,81.2749004,78.90438247,77.01195219,75.21912351,73.48605578
鹿児島県喜界町,住宅地,100,97.36533958,95.14051522,94.26229508,94.08665105,93.91100703,93.61826698,93.38407494,92.97423888,92.44730679,91.80327869
北海道増毛町,住宅地,100,91.8128655,87.13450292,84.79532164,81.87134503,79.53216374,76.60818713,73.68421053,70.76023392,67.83625731,65.49707602
北海道新十津川町,商業地,100,95.34883721,93.02325581,89.53488372,86.04651163,82.55813953,79.06976744,74.41860465,72.09302326,69.18604651,66.86046512
北海道名寄市,住宅地,100,99.13294798,98.26589595,97.39884393,96.53179191,95.66473988,95.0867052,93.93063584,93.06358382,92.48554913,91.90751445
青森県平内町,住宅地,100,97.12643678,94.82758621,92.52873563,90.8045977,89.65517241,88.50574713,87.35632184,86.20689655,85.05747126,83.90804598
青森県五戸町,住宅地,100,97.70114943,96.55172414,95.40229885,94.25287356,93.10344828,91.95402299,90.8045977,89.65517241,88.50574713,87.35632184
熊本県荒尾市,工業地,100,96.56357388,95.0744559,95.0744559,95.0744559,95.0744559,95.41809851,96.21993127,97.36540664,98.51088202,105.3837342
熊本県八代市,工業地,100,101.1363636,102.2727273,104.5454545,108.5227273,113.0681818,114.7727273,117.0454545,121.5909091,128.4090909,136.3636364
青森県東北町,住宅地,100,98.86363636,97.72727273,96.59090909,95.45454545,94.31818182,93.18181818,92.04545455,90.90909091,89.77272727,88.63636364
鹿児島県肝付町,住宅地,100,97.18309859,95.21126761,92.67605634,90.5915493,88.33802817,86.08450704,84.61971831,82.98591549,81.97183099,80.90140845
青森県弘前市,工業地,100,97.75280899,97.75280899,97.75280899,97.75280899,97.75280899,97.75280899,97.75280899,97.75280899,97.75280899,97.75280899
北海道斜里町,住宅地,100,98.88268156,98.32402235,97.76536313,97.20670391,96.08938547,94.97206704,93.8547486,92.73743017,91.62011173,90.5027933
宮城県石巻市,工業地,100,102.2222222,102.7777778,103.3333333,103.3333333,102.2222222,100.5555556,100,98.88888889,97.77777778,96.66666667
北海道砂川市,住宅地,100,96.11111111,92.22222222,88.33333333,85,81.66666667,77.77777778,75,72.22222222,71.11111111,70
岩手県花巻市,工業地,100,98.34254144,98.34254144,98.34254144,98.34254144,98.34254144,98.34254144,98.34254144,99.88950276,101.7679558,105.9668508
北海道上川町,商業地,100,94.50549451,91.20879121,87.91208791,83.51648352,79.12087912,75.82417582,72.52747253,71.42857143,70.32967033,68.13186813
東京都三宅村,住宅地,100,98.90710383,97.81420765,97.81420765,97.81420765,97.81420765,97.26775956,97.26775956,97.26775956,97.26775956,97.26775956
秋田県秋田市,工業地,100,94.90909091,90.54545455,87.81818182,86,85.45454545,85.45454545,86.10909091,87.74545455,89.74545455,91.89090909
東京都八丈町,住宅地,100,98.91304348,98.91304348,98.91304348,98.91304348,98.91304348,97.82608696,97.82608696,97.82608696,97.82608696,96.73913043
山形県最上町,住宅地,100,97.67316017,95.67099567,93.61471861,91.66666667,89.82683983,88.04112554,87.17532468,86.36363636,85.71428571,85.11904762
秋田県小坂町,住宅地,100,97.84946237,95.69892473,93.5483871,91.39784946,89.24731183,87.3655914,85.75268817,83.92473118,82.04301075,80.48387097
東京都新島村,商業地,100,100,100,100,100,100,95.16129032,92.47311828,92.47311828,92.47311828,92.47311828
山形県朝日町,住宅地,100,98.77071085,97.70176376,96.63281668,95.56386959,94.4949225,93.212186,91.98289685,91.07429182,90.1656868,89.41742384
